run_id,scenario,baseline,seed,mean_fatigue,max_fatigue,mean_rula,workload_gini,energy_kwh,energy_per_unit,co2e_kg,scrap_rate,throughput,downtime_hrs,oee,constraint_violations,runtime_sec,demand,good_units,scrap_units,unfinished,maintenance_events,downtime_share,mean_health_end,hc1_breaches,hc3_breaches,mean_cognitive_load,availability,performance,quality_rate,rest_episodes,rest_minutes,hc1_filtered,hc2_filtered,hc3_filtered,hc4_filtered,machine_utilisation,operator_utilisation,deferral_epochs
S3_B2_s01,S3,B2,1,0.7678,1.0,4.7563,0.0028,125.057,1.3895,41.269,0.1667,90,3.5,0.6034,85,0.0266,94,75,15,4,9,0.0875,0.7867,46,39,0.4998,0.9125,0.7935,0.8333,0,0.0,0,0,0,0,0.5776,0.9627,0
S3_B2_s02,S3,B2,2,0.7687,1.0,4.8224,0.0027,127.59,1.5011,42.105,0.2118,85,3.5,0.5741,84,0.0262,94,67,18,9,9,0.0875,0.7944,46,38,0.5188,0.9125,0.7982,0.7882,0,0.0,0,0,0,0,0.5627,0.9379,0
S3_B2_s03,S3,B2,3,0.7874,1.0,4.9278,0.0128,129.698,1.4573,42.8,0.0899,89,5.0,0.6591,100,0.0247,94,81,8,5,11,0.125,0.8069,53,47,0.5197,0.875,0.8277,0.9101,0,0.0,0,0,0,0,0.5678,0.9464,0
S3_B2_s04,S3,B2,4,0.7261,1.0,4.6785,0.0064,120.461,1.3385,39.752,0.1889,90,3.5,0.592,83,0.0261,94,73,17,4,9,0.0875,0.7955,42,41,0.4866,0.9125,0.7998,0.8111,0,0.0,0,0,0,0,0.5658,0.943,0
S3_B2_s05,S3,B2,5,0.7431,1.0,4.7493,0.004,123.652,1.3893,40.805,0.1011,89,2.0,0.6822,80,0.0246,94,80,9,5,9,0.05,0.6395,44,36,0.5052,0.95,0.7989,0.8989,0,0.0,0,0,0,0,0.5695,0.9492,0
S3_B2_s06,S3,B2,6,0.76,1.0,4.8946,0.0049,126.859,1.3789,41.863,0.1196,92,5.0,0.6492,95,0.0272,94,81,11,2,10,0.125,0.803,50,45,0.5132,0.875,0.8428,0.8804,0,0.0,0,0,0,0,0.5676,0.946,0
S3_B2_s07,S3,B2,7,0.7069,1.0,4.5084,0.0045,116.004,1.2473,38.281,0.1828,93,2.0,0.6226,67,0.0249,94,76,17,1,9,0.05,0.7369,33,34,0.4823,0.95,0.802,0.8172,0,0.0,0,0,0,0,0.5663,0.9438,0
S3_B2_s08,S3,B2,8,0.6828,1.0,4.4756,0.0096,109.256,1.1623,36.055,0.1383,94,1.75,0.6769,67,0.0264,94,81,13,0,7,0.0437,0.653,37,30,0.4767,0.9563,0.8214,0.8617,0,0.0,0,0,0,0,0.5488,0.9147,0
S3_B2_s09,S3,B2,9,0.6703,1.0,4.5427,0.0025,109.375,1.1636,36.094,0.1702,94,3.25,0.6363,55,0.026,94,78,16,0,8,0.0813,0.7907,29,26,0.4821,0.9187,0.8346,0.8298,0,0.0,0,0,0,0,0.5452,0.9086,0
S3_B2_s10,S3,B2,10,0.7356,1.0,4.6673,0.0067,118.698,1.3044,39.171,0.1429,91,3.25,0.6254,71,0.0254,94,78,13,3,9,0.0813,0.5959,35,36,0.494,0.9187,0.7941,0.8571,0,0.0,0,0,0,0,0.5688,0.948,0
